               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.025713,           0.0030436,                   0,             0.93976,             0.92123,             0.93925,             0.52414,            0.024671,           0.0022147,                   0,           0.0014384,           0.0014384,           0.0014384
                 105,            0.025861,            0.003198,                   0,             0.94641,             0.90748,             0.94922,             0.52271,            0.024483,           0.0022388,                   0,            0.001389,            0.001389,            0.001389
                 106,            0.026318,            0.003174,                   0,             0.93571,             0.92323,             0.94286,             0.52722,            0.024737,           0.0022318,                   0,           0.0013425,           0.0013425,           0.0013425
                 107,            0.025829,            0.003177,                   0,             0.93109,             0.93095,             0.94347,              0.5314,            0.024682,           0.0022081,                   0,           0.0012989,           0.0012989,           0.0012989
                 108,            0.025399,           0.0031295,                   0,             0.93963,             0.91922,             0.93836,             0.52994,            0.024715,           0.0022185,                   0,           0.0012581,           0.0012581,           0.0012581
                 109,            0.025378,           0.0030852,                   0,             0.94558,             0.92717,             0.94834,             0.52932,            0.024744,            0.002214,                   0,           0.0012202,           0.0012202,           0.0012202
                 110,            0.025552,           0.0031603,                   0,             0.95695,              0.9252,             0.95448,             0.53156,             0.02473,           0.0022048,                   0,           0.0011853,           0.0011853,           0.0011853
                 111,            0.024978,           0.0031947,                   0,             0.95337,             0.92913,             0.95579,             0.52803,            0.024616,           0.0022103,                   0,           0.0011533,           0.0011533,           0.0011533
                 112,            0.025204,           0.0032416,                   0,             0.94399,             0.92894,             0.94577,             0.53408,            0.024573,            0.002204,                   0,           0.0011243,           0.0011243,           0.0011243
                 113,             0.02552,           0.0031681,                   0,             0.95181,             0.93306,             0.95489,              0.5327,            0.024674,           0.0022166,                   0,           0.0010983,           0.0010983,           0.0010983
                 114,             0.02525,           0.0032225,                   0,             0.94969,             0.92901,             0.95194,              0.5295,            0.024649,           0.0022098,                   0,           0.0010754,           0.0010754,           0.0010754
                 115,             0.02551,           0.0031973,                   0,             0.94578,             0.92715,             0.94823,             0.53082,            0.024842,           0.0022024,                   0,           0.0010554,           0.0010554,           0.0010554
                 116,            0.025978,           0.0031549,                   0,             0.94721,             0.91929,             0.94791,              0.5338,            0.024986,           0.0022139,                   0,           0.0010385,           0.0010385,           0.0010385
                 117,            0.025213,           0.0031101,                   0,             0.95501,             0.91927,             0.94987,             0.53568,            0.024597,           0.0022015,                   0,           0.0010247,           0.0010247,           0.0010247
                 118,            0.025392,           0.0031819,                   0,             0.94081,             0.91732,             0.94174,             0.53447,             0.02446,           0.0021964,                   0,           0.0010139,           0.0010139,           0.0010139
                 119,            0.025376,            0.003157,                   0,             0.94528,              0.9252,             0.94686,              0.5343,            0.024417,           0.0022146,                   0,           0.0010062,           0.0010062,           0.0010062
